[['48.4069719, -122.461082'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4208914, -122.4604869'], ['sightseeing', 0.0079452507], ['non-scenic', 4.0746936e-06], ['non-scenic', 4.0507584e-06]]
[['48.42437349999999, -122.4547715'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4373098, -122.4700008'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.446305, -122.4604493'], ['non-scenic', 4.6315701e-05], ['non-scenic', 3.6956204e-05], ['non-scenic', 2.2071405e-05]]
[['48.4539153, -122.4655453'], ['non-scenic', 0.00069937215], ['non-scenic', 7.0516371e-06], ['non-scenic', 2.4808623e-06]]
[['48.4630389, -122.4658658'], ['non-scenic', 4.4400917e-05], ['non-scenic', 9.7083584e-06], ['non-scenic', 2.7622464e-06]]
[['48.472153, -122.4605214'], ['non-scenic', 0.00082523189], ['fields', 0.00041303399], ['non-scenic', 8.0158634e-06]]
[['48.48107539999999, -122.4618125'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.48964369999999, -122.4612226'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4990718, -122.4610681'], ['non-scenic', 0.00010458505], ['non-scenic', 3.3748427e-05], ['non-scenic', 1.2219004e-05]]
[['48.5080412, -122.4554891'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5194284, -122.460566'], ['non-scenic', 4.5739416e-05], ['non-scenic', 2.1512808e-05], ['non-scenic', 8.6637265e-06]]
[['48.5306665, -122.4555025'], ['non-scenic', 0.00042795888], ['nature and woods', 0.00013189822], ['fields', 5.3606356e-05]]
[['48.53778399999999, -122.4605687'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5431336, -122.4608163'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.55374459999999, -122.4606295'], ['water', 0.00013471236], ['non-scenic', 1.6616976e-05], ['non-scenic', 1.0305508e-05]]
[['48.5618601, -122.4562133'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.571955, -122.4419917'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6106969, -122.436812'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.615429, -122.4425866'], ['nature and woods', 1.5559992e-05], ['nature and woods', 9.0452471e-07], ['nature and woods', 1.8707091e-07]]
[['48.6248302, -122.4551315'], ['nature and woods', 8.2388333e-06], ['nature and woods', 4.0905516e-06], ['nature and woods', 2.6770438e-06]]
[['48.6260907, -122.4606257'], ['nature and woods', 7.3034762e-06], ['nature and woods', 3.6491074e-06], ['nature and woods', 5.768519e-07]]
[['48.6295406, -122.4671675'], ['nature and woods', 2.66591e-05], ['nature and woods', 7.3986666e-06], ['nature and woods', 6.7218621e-06]]
[['48.6364708, -122.4476765'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6545278, -122.4636554'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.660456, -122.4655138'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6667557, -122.4686965'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.67369240000001, -122.4757318'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.693089, -122.4582243'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6976249, -122.4601278'], ['non-scenic', 8.9641608e-06], ['non-scenic', 8.6793943e-06], ['non-scenic', 2.6435778e-06]]
[['48.70636589999999, -122.4605338'], ['nature and woods', 0.00024989035], ['nature and woods', 4.1624979e-05], ['nature and woods', 5.9303779e-06]]
[['48.7147071, -122.4612599'], ['non-scenic', 0.00073667441], ['non-scenic', 0.00068498217], ['nature and woods', 0.00056787144]]
[['48.7238167, -122.4598015'], ['nature and woods', 0.00016481231], ['nature and woods', 7.1673712e-06], ['nature and woods', 6.4777123e-07]]
[['48.7330762, -122.4607386'], ['non-scenic', 0.000754771], ['non-scenic', 0.00023917346], ['non-scenic', 0.00014280189]]
[['48.7420719, -122.4599274'], ['non-scenic', 0.0026949402], ['non-scenic', 4.1653468e-05], ['non-scenic', 4.0547275e-05]]
[['48.7510854, -122.4607487'], ['non-scenic', 0.00070396025], ['non-scenic', 0.00010071239], ['non-scenic', 2.2550685e-06]]
[['48.7604149, -122.4605171'], ['non-scenic', 0.00013030691], ['non-scenic', 7.0131646e-05], ['non-scenic', 2.8895627e-05]]
[['48.769079, -122.4605296'], ['non-scenic', 6.2616644e-05], ['non-scenic', 2.8087692e-05], ['nature and woods', 1.5439603e-06]]
[['48.7786967, -122.4605169'], ['non-scenic', 0.00055173034], ['nature and woods', 1.1569427e-05], ['nature and woods', 3.6052793e-07]]
[['48.7870934, -122.4605296'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.796197, -122.4606868'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.804157, -122.4578136'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8147173, -122.4605175'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8242096, -122.4605076'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.83207669999999, -122.4610472'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8398688, -122.4626393'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.84800730000001, -122.4605267'], ['nature and woods', 1.8045024e-05], ['fields', 1.3037337e-05], ['nature and woods', 6.7791716e-06]]
[['48.8567154, -122.4625683'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8699128, -122.4605006'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8786466, -122.4619753'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8843768, -122.460486'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8949119, -122.4562303'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9069671, -122.4602973'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.911854, -122.4600879'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
