[['48.3283809, -124.4764628'], ['water', 0.00014718621], ['non-scenic', 1.4278895e-05], ['non-scenic', 6.4790752e-06]]
[['48.5328078, -124.4445951'], ['non-scenic', 3.7976381e-05], ['nature and woods', 1.4573165e-05], ['nature and woods', 5.4410057e-06]]
[['48.5328156, -124.4446524'], ['nature and woods', 2.5954227e-05], ['non-scenic', 1.8438477e-05], ['nature and woods', 1.5278951e-06]]
[['48.5333548, -124.4448293'], ['nature and woods', 6.0072534e-06], ['nature and woods', 2.6639741e-06], ['nature and woods', 1.0374499e-06]]
[['48.5405091, -124.4426888'], ['nature and woods', 9.1041893e-06], ['nature and woods', 9.0929052e-06], ['nature and woods', 2.3450557e-06]]
[['48.5466849, -124.4363579'], ['nature and woods', 8.1402883e-05], ['nature and woods', 8.33173e-06], ['nature and woods', 4.413494e-06]]
[['48.5484083, -124.4340791'], ['nature and woods', 3.443917e-05], ['nature and woods', 2.6555065e-06], ['nature and woods', 1.8189561e-06]]
[['48.5766067, -124.4131031'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.598326, -124.428197'], ['nature and woods', 1.8595145e-05], ['nature and woods', 1.5017785e-05], ['nature and woods', 1.2939145e-05]]
[['48.59936990000001, -124.4303461'], ['nature and woods', 2.2840908e-05], ['nature and woods', 1.9715426e-05], ['nature and woods', 2.9513558e-06]]
[['48.60294460000001, -124.4338411'], ['nature and woods', 2.1341084e-05], ['nature and woods', 5.7880252e-06], ['nature and woods', 2.9539021e-06]]
[['48.61002389999999, -124.4418301'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6159661, -124.438414'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6294046, -124.4408763'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6343655, -124.44696'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6406338, -124.4519111'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6442583, -124.456748'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6655086, -124.4496148'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6662874, -124.4475478'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6734042, -124.4353445'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.69015599999999, -124.4478841'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6969698, -124.4504379'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
