[['47.83316079999999, -117.4974237'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.84240930000001, -117.4981942'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8510863, -117.4975923'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8602209, -117.4986752'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8690716, -117.4977331'], ['non-scenic', 0.0025063362], ['nature and woods', 5.6308618e-05], ['nature and woods', 2.7715791e-05]]
[['47.878085, -117.497658'], ['fields', 1.1792054e-05], ['fields', 7.3100082e-06], ['fields', 1.3026191e-06]]
[['47.8870842, -117.4977682'], ['water', 2.887132e-05], ['non-scenic', 1.9174789e-05], ['non-scenic', 1.6733809e-05]]
[['47.8960845, -117.4978513'], ['non-scenic', 0.0002387845], ['non-scenic', 8.5794709e-05], ['water', 1.7653438e-05]]
[['47.9050874, -117.498023'], ['non-scenic', 0.0012132744], ['non-scenic', 0.00048725726], ['non-scenic', 5.8211212e-05]]
[['47.9140836, -117.4982496'], ['non-scenic', 0.00026170607], ['non-scenic', 0.00020801021], ['non-scenic', 8.9076957e-06]]
[['47.9230719, -117.4982617'], ['nature and woods', 0.0001125003], ['nature and woods', 5.5767118e-06], ['nature and woods', 2.6001151e-06]]
[['47.9320756, -117.4984397'], ['non-scenic', 8.0385078e-05], ['non-scenic', 3.1000578e-05], ['non-scenic', 1.761967e-05]]
[['47.94221539999999, -117.4965636'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9498472, -117.4977739'], ['non-scenic', 1.1269111e-05], ['nature and woods', 8.5277916e-06], ['nature and woods', 6.8825932e-07]]
[['47.9603478, -117.4986639'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9685995, -117.5009867'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9763514, -117.492051'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.98936610000001, -117.4986915'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.9950195, -117.5017899'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0039151, -117.4986705'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.013082, -117.501744'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0220764, -117.5018385'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0329463, -117.4986732'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.040083, -117.5019582'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0490943, -117.5017662'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.058094, -117.5017441'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.0634968, -117.5017265'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.07610769999999, -117.484321'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.081705, -117.4835804'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1000691, -117.5131484'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.106136, -117.498679'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1099264, -117.5008415'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1227679, -117.499129'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1293558, -117.4996582'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1396278, -117.4990352'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1470694, -117.5014607'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1595123, -117.5005662'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1644756, -117.5004492'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1725565, -117.4997284'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.18266089999999, -117.4999575'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1935847, -117.5005867'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.20145249999999, -117.4976227'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
