[['48.0872197, -124.2151468'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1059436, -124.2293617'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1117094, -124.2287895'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1197553, -124.2276333'], ['non-scenic', 1.8582768e-05], ['nature and woods', 3.3132512e-06], ['nature and woods', 1.2216587e-06]]
[['48.1281229, -124.2309473'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1397605, -124.2282901'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1443605, -124.2285837'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1583948, -124.2350871'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1668907, -124.2294236'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.17361, -124.2254651'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1874572, -124.2224101'], ['nature and woods', 5.8390824e-06], ['non-scenic', 4.3641785e-06], ['nature and woods', 4.2655538e-06]]
[['48.1932858, -124.2282617'], ['nature and woods', 1.4790192e-05], ['nature and woods', 1.0708543e-05], ['nature and woods', 2.0319324e-06]]
[['48.19944510000001, -124.2337228'], ['non-scenic', 3.0652405e-05], ['nature and woods', 1.3426609e-05], ['nature and woods', 9.2864075e-06]]
[['48.209777, -124.231495'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.21928459999999, -124.2307486'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.22825690000001, -124.2299083'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2350657, -124.2290899'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2424853, -124.2197878'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2494372, -124.2466661'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2584784, -124.2491142'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2600922, -124.2506278'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.2604661, -124.2515512'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4650003, -124.2097174'], ['nature and woods', 6.4240267e-05], ['nature and woods', 2.3834818e-06], ['nature and woods', 1.2924642e-07]]
[['48.4650948, -124.2101204'], ['nature and woods', 5.0914978e-06], ['nature and woods', 3.5292035e-06], ['nature and woods', 6.0240416e-07]]
[['48.4669777, -124.2153937'], ['non-scenic', 1.0017592e-05], ['nature and woods', 1.5502226e-06], ['nature and woods', 1.2115539e-06]]
[['48.4718773, -124.22474'], ['fields', 1.510852e-05], ['nature and woods', 6.4822035e-07], ['nature and woods', 3.5651604e-07]]
[['48.4730202, -124.2275114'], ['fields', 4.999086e-05], ['nature and woods', 6.5515674e-06], ['nature and woods', 1.8165022e-07]]
[['48.4746006, -124.2313316'], ['nature and woods', 2.0340181e-05], ['nature and woods', 1.9001463e-06], ['nature and woods', 1.287046e-07]]
[['48.497023, -124.2294452'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4979778, -124.2271352'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4981128, -124.2263602'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.513367, -124.254825'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5135099, -124.254964'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.558107, -124.221413'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.559387, -124.227136'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5603693, -124.2293821'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5719083, -124.2288096'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5798783, -124.2286537'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.58794049999999, -124.2292535'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5973125, -124.228499'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.60788609999999, -124.2295954'], ['nature and woods', 9.9588192e-07], ['nature and woods', 5.7405498e-07], ['nature and woods', 1.142706e-07]]
[['48.618421, -124.2277572'], ['nature and woods', 8.6193932e-06], ['nature and woods', 1.519397e-06], ['nature and woods', 6.3092955e-07]]
[['48.62358990000001, -124.232515'], ['fields', 4.0910818e-05], ['nature and woods', 4.7010558e-06], ['nature and woods', 1.6355366e-06]]
[['48.639046, -124.2323212'], ['nature and woods', 0.00020590046], ['nature and woods', 0.00010947995], ['nature and woods', 1.2830701e-07]]
[['48.6432016, -124.2289725'], ['nature and woods', 0.0001520618], ['nature and woods', 3.7258144e-06], ['nature and woods', 3.1286988e-06]]
[['48.6542389, -124.2257366'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6608244, -124.2272904'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6675337, -124.2234367'], ['nature and woods', 0.00012809214], ['nature and woods', 8.3652449e-06], ['nature and woods', 7.738201e-06]]
[['48.6756714, -124.2227832'], ['nature and woods', 7.0618066e-06], ['nature and woods', 1.9087443e-06], ['nature and woods', 1.34187e-06]]
[['48.688985, -124.234304'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.6970999, -124.2293373'], ['water', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7072363, -124.2333654'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7179614, -124.2293901'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7227305, -124.2300143'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7288406, -124.2400792'], ['non-scenic', 0.00011504719], ['water', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.729239, -124.2406489'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
