[['47.1670787, -122.2410459'], ['nature and woods', 5.0230778e-05], ['nature and woods', 2.8744469e-05], ['non-scenic', 1.9929696e-05]]
[['47.17638849999999, -122.2408084'], ['non-scenic', 0.00062562054], ['non-scenic', 0.00061402941], ['non-scenic', 0.00012453692]]
[['47.1850762, -122.2414746'], ['non-scenic', 0.00032257105], ['non-scenic', 0.00012547569], ['non-scenic', 0.00010345419]]
[['47.1940569, -122.2412334'], ['non-scenic', 7.865282e-06], ['non-scenic', 5.3177619e-06], ['non-scenic', 3.4722812e-06]]
[['47.203308, -122.2412125'], ['non-scenic', 0.0013439097], ['non-scenic', 0.00073354732], ['non-scenic', 0.00045363946]]
[['47.2123058, -122.2417124'], ['sightseeing', 0.00023041689], ['non-scenic', 7.080139e-05], ['non-scenic', 4.9808423e-05]]
[['47.2210703, -122.2401305'], ['non-scenic', 0.00018268047], ['non-scenic', 9.9289871e-05], ['non-scenic', 1.8874638e-05]]
[['47.230075, -122.239975'], ['non-scenic', 0.0034906401], ['non-scenic', 0.00061467319], ['non-scenic', 0.00027675473]]
[['47.2393597, -122.2412044'], ['non-scenic', 0.00014078899], ['non-scenic', 2.2511382e-05], ['non-scenic', 1.9734092e-05]]
[['47.2480777, -122.2417355'], ['non-scenic', 0.0030546719], ['non-scenic', 0.00021366052], ['water', 4.2108986e-05]]
[['47.25785, -122.241626'], ['non-scenic', 0.002388258], ['non-scenic', 0.00037553016], ['non-scenic', 1.7294517e-05]]
[['47.2662567, -122.2411001'], ['non-scenic', 0.00030070692], ['non-scenic', 0.00027802729], ['non-scenic', 9.90099e-05]]
[['47.2750157, -122.2394593'], ['nature and woods', 2.7435945e-05], ['non-scenic', 2.2520961e-05], ['nature and woods', 9.2554119e-06]]
[['47.2841003, -122.2404006'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2936467, -122.2412251'], ['non-scenic', 0.00062595145], ['nature and woods', 2.9346944e-05], ['non-scenic', 1.4489862e-05]]
[['47.3023095, -122.2412134'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3110794, -122.2408833'], ['non-scenic', 0.00020449919], ['non-scenic', 0.0001056402], ['nature and woods', 9.139334e-05]]
[['47.3222181, -122.2411079'], ['non-scenic', 9.0486326e-05], ['non-scenic', 2.9328336e-05], ['non-scenic', 3.1654024e-06]]
[['47.3290666, -122.2385284'], ['non-scenic', 0.00010832003], ['nature and woods', 2.6158486e-05], ['non-scenic', 9.2985683e-06]]
[['47.338079, -122.2384787'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.34636159999999, -122.2411955'], ['non-scenic', 0.00022794883], ['non-scenic', 8.2601393e-05], ['nature and woods', 4.6380801e-06]]
[['47.3558822, -122.2435111'], ['non-scenic', 2.9361288e-05], ['non-scenic', 2.1678237e-05], ['non-scenic', 2.0614212e-05]]
[['47.3650946, -122.2441265'], ['non-scenic', 0.0034906308], ['non-scenic', 0.00014364101], ['non-scenic', 0.00011713671]]
[['47.3739599, -122.2425847'], ['non-scenic', 0.00046059364], ['non-scenic', 0.00014440005], ['non-scenic', 2.0304426e-05]]
[['47.3830935, -122.2412117'], ['non-scenic', 6.797041e-05], ['non-scenic', 6.6986875e-05], ['non-scenic', 2.6757945e-05]]
