[['47.2396581, -120.6165953'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.255709, -120.6223656'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2562855, -120.6240747'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2700132, -120.6234069'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2701106, -120.6246556'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.28708049999999, -120.628566'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2911583, -120.6244011'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3005012, -120.6206615'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3090621, -120.6219358'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.31588259999999, -120.6212866'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.334006, -120.6204769'], ['nature and woods', 9.3076869e-06], ['non-scenic', 6.0703667e-07], ['nature and woods', 4.2352309e-07]]
[['47.3348291, -120.6247233'], ['nature and woods', 3.4189563e-06], ['nature and woods', 2.9177334e-06], ['nature and woods', 1.2399848e-07]]
[['47.3439413, -120.6231413'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3572753, -120.6206393'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.36054559999999, -120.6269064'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3743592, -120.627555'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.37484389999999, -120.627663'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.39566, -120.6264123'], ['nature and woods', 5.2323439e-06], ['nature and woods', 4.5749525e-06], ['nature and woods', 2.2158458e-06]]
[['47.3969745, -120.6223182'], ['nature and woods', 7.15226e-06], ['nature and woods', 5.493194e-07], ['nature and woods', 1.4775959e-07]]
[['47.4136049, -120.6197877'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4193986, -120.6222195'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4281189, -120.6237734'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4339121, -120.6286283'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.44019489999999, -120.612185'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4420845, -120.6391436'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4739573, -120.6361196'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4782631, -120.622187'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4824682, -120.6231274'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4917049, -120.6267231'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4994027, -120.6320283'], ['nature and woods', 8.7420303e-06], ['nature and woods', 3.7679022e-06], ['nature and woods', 1.6530983e-06]]
[['47.51118229999999, -120.6310236'], ['non-scenic', 2.9239748e-06], ['non-scenic', 2.6407556e-06], ['nature and woods', 3.1020107e-07]]
[['47.5185669, -120.6267189'], ['nature and woods', 4.4366134e-05], ['non-scenic', 2.3322439e-06], ['non-scenic', 1.7956472e-06]]
[['47.5270465, -120.6236206'], ['non-scenic', 0.002475966], ['non-scenic', 7.1401533e-05], ['nature and woods', 5.0839949e-06]]
[['47.5360177, -120.6260904'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5470293, -120.6213338'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5495211, -120.6251589'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.55984730000001, -120.6161882'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.574461, -120.6194132'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.582477, -120.6239265'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5897842, -120.6243933'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5990785, -120.624022'], ['nature and woods', 0.0007157643], ['non-scenic', 7.2803981e-05], ['nature and woods', 5.7200868e-05]]
[['47.6051514, -120.6279157'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6173802, -120.6282176'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.619688, -120.6287913'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6360382, -120.624539'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6423588, -120.6216518'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6568735, -120.6164542'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6611391, -120.6170068'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6766472, -120.6192383'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6797978, -120.6241456'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6809685, -120.6272065'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6983389, -120.638254'], ['non-scenic', 5.3413816e-05], ['nature and woods', 1.0291265e-05], ['non-scenic', 4.9855785e-06]]
[['47.7077573, -120.6369388'], ['nature and woods', 7.9779111e-06], ['non-scenic', 7.6335828e-06], ['nature and woods', 1.6802729e-06]]
[['47.7178555, -120.6238788'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7178584, -120.6237023'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.733065, -120.6354054'], ['non-scenic', 5.8829308e-05], ['non-scenic', 1.5043869e-05], ['nature and woods', 4.9743726e-06]]
[['47.74967909999999, -120.6303279'], ['non-scenic', 1.221481e-05], ['non-scenic', 8.3788364e-06], ['nature and woods', 5.7177376e-06]]
[['47.7529086, -120.6247919'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7572669, -120.6190388'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7764235, -120.630339'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7785614, -120.6266992'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7887192, -120.6286063'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.79752879999999, -120.6243937'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8066397, -120.6158355'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.816789, -120.6181348'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.823843, -120.6233888'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8325286, -120.6262049'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8433535, -120.6191052'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8514366, -120.6224187'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
